iter	Passed	Remaining
0	0	67
1	1	61
2	1	58
3	2	54
4	2	56
5	3	56
6	4	56
7	4	57
8	5	56
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	49
15	9	49
16	9	48
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	46	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
